customer_id,gender,item_purchased,category,purchase_amount_(usd),location,season,subscription_status,discount_applied,promo_code_used,previous_purchases,CLV,Spending Level,loyal_customer,age_group,lifetime_value,rating_category,purchase_frequency_score
1,Male,Blouse,Clothing,53,Kentucky,Winter,1,1,1,14,742,Medium,No,Senior,742,Average,3.0
2,Male,Sweater,Clothing,64,Maine,Winter,1,1,1,2,128,Medium,No,Young Adult,128,Average,3.0
3,Male,Jeans,Clothing,73,Massachusetts,Spring,1,1,1,23,1679,Medium,No,Senior,1679,Average,4.0
4,Male,Sandals,Footwear,90,Rhode Island,Spring,1,1,1,49,4410,High,Yes,Young Adult,4410,Average,4.0
5,Male,Blouse,Clothing,49,Oregon,Spring,1,1,1,31,1519,Medium,Yes,Mid-Age,1519,Average,1.0
6,Male,Sneakers,Footwear,20,Wyoming,Summer,1,1,1,14,280,Low,No,Senior,280,Average,4.0
7,Male,Shirt,Clothing,85,Montana,Fall,1,1,1,49,4165,High,Yes,Elder,4165,Average,
8,Male,Shorts,Clothing,34,Louisiana,Winter,1,1,1,19,646,Low,No,Adult,646,Average,4.0
9,Male,Coat,Outerwear,97,West Virginia,Summer,1,1,1,8,776,High,No,Adult,776,Average,1.0
10,Male,Handbag,Accessories,31,Missouri,Spring,1,1,1,4,124,Low,No,Senior,124,Good,
11,Male,Shoes,Footwear,34,Arkansas,Fall,1,1,1,26,884,Low,Yes,Senior,884,Good,
12,Male,Shorts,Clothing,68,Hawaii,Winter,1,1,1,10,680,Medium,No,Adult,680,Good,3.0
13,Male,Coat,Outerwear,72,Delaware,Winter,1,1,1,37,2664,Medium,Yes,Elder,2664,Good,3.0
14,Male,Dress,Clothing,51,New Hampshire,Spring,1,1,1,31,1581,Medium,Yes,Elder,1581,Good,4.0
15,Male,Coat,Outerwear,53,New York,Winter,1,1,1,34,1802,Medium,Yes,Elder,1802,Good,4.0
16,Male,Skirt,Clothing,81,Rhode Island,Winter,1,1,1,8,648,High,No,Elder,648,Average,2.0
17,Male,Sunglasses,Accessories,36,Alabama,Spring,1,1,1,44,1584,Low,Yes,Young Adult,1584,Good,
18,Male,Dress,Clothing,38,Mississippi,Winter,1,1,1,36,1368,Low,Yes,Senior,1368,Good,
19,Male,Sweater,Clothing,48,Montana,Summer,1,1,1,17,816,Medium,No,Senior,816,Good,4.0
20,Male,Pants,Clothing,90,Rhode Island,Summer,1,1,1,46,4140,High,Yes,Elder,4140,Average,
21,Male,Pants,Clothing,51,Louisiana,Winter,1,1,1,50,2550,Medium,Yes,Young Adult,2550,Average,
22,Male,Pants,Clothing,62,North Carolina,Winter,1,1,1,22,1364,Medium,No,Adult,1364,Good,
23,Male,Pants,Clothing,37,California,Summer,1,1,1,32,1184,Low,Yes,Senior,1184,Average,1.0
